stop_id,stop_name,stop_lat,stop_lon,zone
6742,OPP KPG BUNGA RAMPAI,1.4502917,110.2760891,
6743,KAMPUNG BUKIT PANCUR,1.452392,110.280475,
6744,SIMPANG BATU KITANG LAMA,1.452186,110.282422,
6745,BATU KITANG WATER TREATMENT PLANT,1.4535056,110.2859694,
6746,KAMPUNG BUMBOK,1.456189,110.297764,
6747,SIMPANG KAMPUNG TEMATU,1.459464,110.305406,
6748,SRBCH BATU 8 1/2,1.462486,110.312192,
6749,SIMPANG KPG HJ BAKI,1.467803,110.321489,
6768,SJKCH KRANJI,1.450203,110.266594,
6769,SIMPANG BUDDHIST VILLAGE,1.4422357,110.2456579,
6770,KAMPUNG SINIAWAN BARU,1.444064,110.232961,
6771,TAMAN SINIAWAN 1,1.4424375,110.2294082,
6772,TAMAN SINIAWAN 2,1.441675,110.226828,
6773,KAMPUNG PODAM,1.431633,110.19645,
6774,SMK PAKU,1.427183,110.193128,
6779,TOYOTA BORNEO MOBILITY,1.549777,110.3706528,
6780,SUBARU KUCHING,1.549811,110.374383,
6781,OPP CHUNG HUA MIDDLE SCHOOL NO 1,1.5487929,110.3771133,
6782,PETRON PENDING,1.5498791,110.3794236,
6783,LEMBAGA LADA MALAYSIA HQ,1.5577068,110.3831199,
6784,LEMBAGA LADA MALAYSIA (TRADE),1.560558,110.3848501,
6790,JETI BAKO,1.6615622,110.431527,
6791,KAMPUNG BAKO INDAH,1.659917,110.434189,
6792,DEWAN SERBAGUNA KPG HIJRAH,1.658192,110.438494,
6793,TAMAN MESRA BAKO,1.6557,110.441425,
6794,OPP SMK BAKO,1.646397,110.448197,
6795,MUARA TEBAS,1.6478544,110.4815448,
6869,SIMPANG MUARA TEBAS,1.667894,110.463711,
6870,SIMPANG KAMPUNG BAKO,1.642314,110.455108,
6871,SENARI PORT,1.621607,110.4450495,
6872,OPP TIONG NAM,1.61665,110.444056,
6873,DEMAK INDUSTRIAL PARK,1.6087553,110.4425631,
6878,JALAN KEMAJUAN,1.565897,110.388481,
6879,WHITE HORSE CERAMIC,1.5650421,110.3857396,
6880,OPP CONSOLIDATED INDUSTRIES,1.5620353,110.3855752,
6881,OPP LEMBAGA LADA MALAYSIA (TRADE),1.560206,110.384911,
6882,OPP LEMBAGA LADA MALAYSIA HQ,1.557117,110.383047,
6929,ANG CHENG HO QUARRY,1.5081324,110.2901462,
6930,JALAN BATU KAWA 8,1.509031,110.280122,
6931,SJK CHUNG HUA BATU KAWA,1.508964,110.2669,
6932,BATU KAWA COMMERCIAL CENTER,1.506528,110.266778,
6933,ELM MACHINERY,1.509078,110.281469,
6934,JALAN SEGEDUP,1.508561,110.287192,
6954,DESA WIRA,1.510231,110.3027,
6957,MJC CITY 1,1.514281,110.307775,
6959,MJC CITY 2,1.514808,110.311672,
6963,OPP LAU FURNITURE,1.515272,110.318133,
6973,OPEN AIR MARKET,1.558621,110.341297,
6993,JKR BATU LINTANG,1.535681,110.341872,
6994,KWB,1.535222,110.348667,
6997,ARENA SUKAN,1.529031,110.361858,
6998,CONDO FLORIDALE,1.528825,110.363936,
6999,OPPOSITE VIVACITY,1.527522,110.370233,
7000,TABUAN JAYA,1.525547,110.376797,
7001,EMART TABUAN JAYA,1.515617,110.386142,
7002,PJS,1.480261,110.420175,
7003,UNI VISTA,1.467314,110.418422,
7004,UNIMAS,1.464722,110.42475,
7005,HOSPITAL UNIMAS,1.461694,110.419011,
7006,BATU 16 KUCHING SERIAN,1.374719,110.385183,
7007,KAMPUNG DURAS,1.373228,110.390369,
7008,INSTITUT MEMANDU SIBURAN,1.369378,110.398506,
7009,PASAR SIBURAN,1.365183,110.402869,
7010,CHUNG HUA SIBURAN,1.361639,110.405361,
7011,KOMPLEKS SUKAN PADAWAN,1.354161,110.408792,
7012,OPP UNACO SIBURAN,1.345819,110.408631,
7013,BERATOK,1.314325,110.407311,
7014,SJK TAPAH,1.296161,110.411553,
7015,TAMAN HARMONI - SIBURAN,1.280747,110.428658,
7016,KAMPUNG RITUH LABUAN,1.279744,110.436853,
7017,KAMPUNG RITUH PELAMAN,1.279967,110.443911,
7018,JALAN KUCHING SERIAN 1,1.277733,110.451944,
7019,SK GEMAN,1.271933,110.458167,
7020,SJK CHUNG HUA BATU 29,1.256278,110.475611,
7021,KAMPUNG TIAN MAWANG,1.249778,110.484278,
7022,SUNGAI MAMAT,1.239083,110.498194,
7023,JALAN KUCHING SERIAN 2,1.233647,110.502108,
7024,SJK CHUNG HUA BATU 32,1.2229,110.511808,
7025,TARAT,1.209194,110.5295,
7026,TARAT JAYA,1.200417,110.542694,
7027,JALAN KUCHING SERIAN 3,1.191722,110.556861,
7028,JALAN KUCHING SERIAN 4,1.187944,110.56225,
7029,KAMPUNG STABUN,1.183417,110.564528,
7030,OPPOSITE HOSPITAL SERIAN,1.1765,110.565,
7031,IPD SERIAN,1.172306,110.5665,
7032,STESEN BAS SERIAN,1.164571,110.567035,
7041,SEB SERIAN,1.171228,110.566308,
7042,ROXY HOTEL SERIAN,1.172719,110.5664,
7043,HOSPITAL SERIAN,1.176736,110.564556,
7044,FLYOVER SERIAN,1.179944,110.564278,
7045,OPP TAMAN AYER MANIS,1.1884471,110.5617307,
7046,OPPOSITE JALAN KUCHING SERIAN 2,1.191389,110.557,
7047,SUNGAI RAYANG SIJO,1.197417,110.546722,
7048,SJK CHUNG HUA BATU 35,1.201972,110.539972,
7049,TARAT JAYA FOOD JUNCTION,1.206083,110.53375,
7050,OPPOSITE TARAT,1.208944,110.529444,
7051,OPPOSITE SJK CHUNG HUA BATU 32,1.223167,110.511222,
7052,OPPOSITE KAMPUNG TIAN MAWANG,1.249325,110.484439,
7053,OPPOSITE SJK CHUNG HUA BATU 29,1.256556,110.474778,
7054,KAMPUNG LINTANG BARU,1.267944,110.462889,
7055,GEMANG,1.2715,110.458306,
7056,OPP SIMPANG JALAN KONG PING,1.274917,110.454706,
7057,OPPOSITE KAMPUNG RITUH MAWANG,1.276733,110.452044,
7058,OPOSITE KAMPUNG RITUH LABUAN,1.279442,110.436767,
7059,OPPOSITE TAMAN HARMONI,1.280072,110.428811,
7060,OPPOSITE SJK TAPAH,1.294675,110.412492,
7061,OPPOSITE BERATOK,1.312567,110.407064,
7062,UNACO SIBURAN,1.3454,110.408375,
7063,IPD PADAWAN,1.353803,110.408631,
7064,SIBURAN,1.360919,110.405578,
7065,SMK SIBURAN,1.369183,110.398403,
7066,TAMAN DURAS,1.372306,110.392406,
7067,OPP BATU 16 KUCHING SERIAN,1.374833,110.384417,
7068,OPPOSITE UNIMAS,1.464306,110.418444,
7069,SMK TABUAN JAYA,1.514667,110.386056,
7070,SARAWAK SKILLS,1.518019,110.383664,
7071,TABUAN JAYA 1,1.524528,110.377972,
7072,TABUAN JAYA 2,1.525778,110.375972,
7073,VIVACITY,1.526814,110.3723,
7074,JALAN WAN ALWI 1,1.528294,110.365264,
7075,JALAN WAN ALWI 2,1.52875,110.363172,
7076,BATU LINTANG 1,1.540583,110.354444,
7077,BATU LINTANG 2,1.538919,110.351422,
7079,BOMBA BATU LINTANG,1.5342,110.346019,
7080,OPPOSITE JKR BATU LINTANG,1.535394,110.342064,
7081,KOZY SQUARE,1.5395,110.341472,
7082,ST3,1.535861,110.356472,
7085,BAHTERANGKUT,1.531751,110.341839,
7090,OPP SGH,1.5428706,110.3412945,
7091,INDIAN ASSOCIATION,1.534614,110.341153,
7094,DEMAK INDUSTRIAL PARK ROUNDABOUT,1.5984194,110.4415347,
7095,OPP SK PAJAR SEJINGKAT,1.5931195,110.4371204,
7096,OPP SEB SUBSTATION SEJINGKAT,1.5879014,110.4282004,
7097,TAMAN PERINDUSTRIAN CENTRAL LIGHT,1.586666,110.425891,
7098,TERMINAL SAUJANA,1.5580499,110.3420317,
7099,OPP SUNNY HILL,1.521028,110.334747,
8280,TAMAN SRI EMAS,1.4388564,110.3280234,
8283,JLN DATUK AMAR KALONG NINGKAN,1.4943,110.331308,
8284,SMK SG TAPANG,1.4609,110.330297,
8380,KFC SATOK,1.553032,110.3358477,
8381,MAXIS CENTRE,1.5532629,110.3332002,
8382,SIN LIAN HIN GARDEN,1.5495152,110.3272042,
8383,JALAN EASTERN PARK,1.546638,110.3238648,
8384,RPR TMN FLORA INDAH,1.5092014,110.3229769,
8385,KK BATU KAWA,1.5220575,110.3133099,
8386,COURTS MAMMOTH,1.5288265,110.3412026,
8387,CARMELITE CHAPEL,1.5395635,110.3414693,
8388,CHINESE MUSEUM,1.5578297,110.3485271,
8389,OPP RIVERSIDE,1.5583186,110.3512793,
8390,MARKET PETANAK,1.5568457,110.3597494,
8391,OPP SJKCH NO 3,1.5525391,110.3615536,
8392,OPP MBKS,1.5523096,110.3640316,
8393,PUBLIC BANK PADUNGAN,1.5505433,110.367423,
8394,JALAN SEKAMA,1.5453265,110.3629764,
8401,BOSS BEAUTY TRADING COMPANY,1.5416926,110.3633395,
8402,ST FAITH CHURCH,1.5389846,110.3643337,
8403,EVERWIN KENYALANG,1.5377016,110.361702,
8404,KENYALANG PARK,1.5380962,110.3589205,
8405,KING CENTRE,1.5288032,110.3593318,
8406,KPDN SARAWAK,1.5277786,110.357621,
8407,MITA CAKE HOUSE JTJ,1.5250458,110.3558605,
8408,JALAN TABUAN,1.5470933,110.3523517,
8409,PASAR BATU 7 KCH,1.4707183,110.3305167,
8410,SMK SUNGAI TAPANG,1.4609083,110.3302517,
8411,TAMAN INLING,1.3986148,110.340595,
8412,RPR BATU 13,1.3945,110.349778,
8413,MEGA COACH,1.383845,110.3758383,
8414,BEISHI TRADING,1.37469,110.3852467,
8415,TAMAN BUTTERFLY,1.3726183,110.391245,
8416,OPP SMK SIBURAN,1.3693767,110.398575,
8417,PETRONAS SIBURAN,1.36398,110.4038,
8418,SJK CHUNG HUA SIBURAN,1.361595,110.4053967,
8419,RPR BATU GONG,1.3515057,110.4166943,
8420,TERMINAL PASAR SIBURAN,1.3609281,110.4055592,
8421,KPG SERATAU,1.3836733,110.375755,
8422,KPG SIDANU,1.3920283,110.3550517,
8423,TAMAN SENTUH,1.3940667,110.3503367,
8424,RPR BATU 12,1.3973217,110.3429017,
8425,OPP TAMAN INLING,1.3984619,110.3403777,
8426,PETRONAS BATU 12,1.40517,110.3367483,
8427,BATU 9 - TMN SRI EMAS,1.4388217,110.3280633,
8428,KOLEJ KESIHATAN AWAM KUCHING,1.4613267,110.330245,
8429,TAMAN HUI SING,1.5129289,110.3451403,
8430,AEON MALL KUCHING CENTRAL,1.5272976,110.3378249,
8431,BORNEO MUSEUM,1.47014,110.3283033,
8432,OPP KUCHING SENTRAL,1.4822217,110.3310583,
8433,EMPORIUM KUCHING,1.5154767,110.3528667,
8434,OPP MITA CAKE HOUSE JTJ,1.5254533,110.3556467,
8435,SIMPANG JALAN WESTWOOD,1.5433567,110.3543867,
8436,KOMPLEKS BELIA SUKAN,1.5394533,110.3373383,
8437,OPP FORDA,1.53643,110.337175,
8438,TRINITY HUB,1.514835,110.335875,
8439,KUCHING INTERNATIONAL AIRPORT,1.4872468,110.3408061,
8440,OPP STATE VET DIAGNOSTIC LAB,1.4416517,110.3368267,
8441,TAMAN HILL VIEW 2,1.4408333,110.34457,
8442,TAMAN SURIA,1.440275,110.3538117,
8443,OPP KPG PANGKALAN KUAP,1.4396883,110.365145,
8444,SK JALAN MUARA TUANG,1.4455383,110.3849917,
8445,OPP SMK MUARA TUANG,1.4506617,110.3982783,
8446,ST FRANCIS CHURCH,1.4566783,110.4143,
8447,OPP UITM KAMPUS 2,1.4574133,110.4299683,
8448,UNIMAS KAMPUS TIMUR,1.457205,110.454745,
8449,TERMINAL SUMMER MALL,1.4541283,110.4586767,
8450,DESA ILMU,1.455529,110.4499052,
8451,AIMAN MALL,1.45653,110.449165,
8452,SMK MUARA TUANG,1.4505533,110.397235,
8453,OPP SK JALAN MUARA TUANG,1.44511,110.3847517,
8454,KPG PANGKALAN KUAP,1.4396633,110.3657083,
8455,TAMAN HARMONI - KOTA SAMARAHAN,1.4405333,110.3544233,
8456,TAMAN MERPATI - KOTA SAMARAHAN,1.4405383,110.34296,
8457,SEKOLAH TUNAS BAKTI,1.4405233,110.3376717,
8458,OPP PASAR BATU 7 KCH,1.4705767,110.3304217,
8459,SARAWAK FORESTRY CORP,1.4726017,110.335865,
8460,EVERRISE BATU 4,1.5079,110.3336983,
8461,OPP BALAI POLIS BADARUDDIN,1.5505,110.33761,
8462,PERODUA ERAZOOM,1.5534674,110.3289563,
8463,JALAN BELATOK MALIHAH 1,1.55405,110.2449368,
8464,SURAU DARUL IBADAH,1.5479467,110.2403896,
8465,JALAN BELATOK MALIHAH 2,1.5515253,110.2403764,
8466,H&L MALIHAH,1.554622,110.2554604,
8467,MALIHAH MINI MART,1.5540589,110.2447028,
8468,TAMAN SERI MAKMUR,1.5734034,110.2690252,
8469,TAMAN HENG GUEN,1.5728813,110.2710714,
8470,OPP TAMAN YEN YEN,1.5732682,110.2988379,
8471,OPP PUBLIC FURNITURE,1.5730732,110.3016465,
8472,OPP JJ PETSHOP,1.5645026,110.3134405,
8473,KUCHING SENTRAL,1.4822135,110.3332703,
8474,KUCHING SENTRAL BUS TERMINAL,1.4817574,110.3326293,
8475,KUCHING SENTRAL TERMINAL,1.481799,110.332511,
8476,OPP AEROVILLE,1.498412,110.3718493,
8477,JLN STAMPIN BARU,1.4907997,110.376739,
8478,LUNG ZAI STALL,1.4904537,110.3811033,
8479,JLN STAMPIN BARU 2,1.490558,110.3836391,
8480,JLN STAMPIN BARU 3,1.4937618,110.3846544,
8481,BR STORE STAMPIN BARU,1.4997285,110.3840986,
8482,JLN STAMPIN BARU 4,1.5007861,110.3802854,
8483,AEROVILLE,1.4981755,110.3718897,
8484,OPP LIONS NURSING HOME,1.5032933,110.373378,
8485,MBKS STUTONG COMMUNITY MARKET,1.5185803,110.3780594,
8486,OPP PETRONAS TABUAN JAYA,1.5258073,110.3759628,
8487,JLN FOOCHOW,1.5400684,110.373036,
8488,SHUNPIN ENGENEERING WORKS,1.5456008,110.3688721,
8489,OPP PUBLIC BANK PADUNGAN,1.5499766,110.3674963,
8490,SJKCH NO 3,1.5522845,110.362026,
8491,LOT 10 BOUTIQUE HOTEL,1.5517568,110.3574631,
8492,GRAND CONTINENTAL HOTEL,1.5528639,110.3541845,
8493,SAUJANA,1.5580409,110.3419718,
8494,CT2 HOTEL,1.5524936,110.3514679,
8495,KMC FLAT,1.5528006,110.3560122,
8496,BIG PHARMACY TABUAN JAYA,1.5255193,110.3770039,
8497,OPP MBKS STUTONG COMMUNITY MARKET,1.5184531,110.3784242,
8498,LIONS NURSING HOME,1.5022495,110.3735387,
8499,JLN STAMPIN BARU B,1.4908096,110.3767749,
8500,LUNG ZAI STALL STAMPIN BARU B,1.4904222,110.3811165,
8501,JLN STAMPIN BARU 2 B,1.4905137,110.383563,
8502,JLN STAMPIN BARU 3 B,1.4937803,110.3846241,
8503,BR STORE STAMPIN BARU B,1.4997158,110.384134,
8504,JLN STAMPIN BARU 4 B,1.5007624,110.3803133,
8505,AEROVILLE B,1.4982149,110.3718929,
8506,KUCHING INTERNATIONAL AIRPORT B,1.4872862,110.3409101,
8507,OPEN AIR,1.559295,110.3424517,
8508,OPP WIJASA MEDIA,1.5696689,110.323191,
8509,OPP HAWA BBQ STEAMBOAT HOUSE,1.5766917,110.3318017,
8510,TAMAN TUNKU FASA 2,1.57535,110.3359133,
8511,SK ENCIK BUYONG,1.5704317,110.341625,
8512,KPG ASTANA LOT,1.5698617,110.34423,
8513,PUSTAKA NEGERI SARAWAK,1.5815983,110.3511417,
